year,seccion,seccion_nombre,total
2011,1,CAPITAL,990289
2011,13,RIO CUARTO,192137
2011,3,COLON,164492
2011,20,SAN JUSTO,161216
2011,12,PUNILLA,135804
2011,6,GRAL SAN MARTIN,97958
2011,23,TERCERO ARRIBA,89385
2011,26,UNION,82741
2011,9,MARCOS JUAREZ,82061
2011,16,RIO SEGUNDO,79077
2011,21,SANTA MARIA,70401
2011,8,JUAREZ CELMAN,46085
2011,4,CRUZ DEL EJE,40243
2011,2,CALAMUCHITA,39943
2011,19,SAN JAVIER,38378
2011,14,RIO PRIMERO,34583
2011,17,ROQUE SAENZ PEÑA,28242
2011,18,SAN ALBERTO,27616
2011,5,GENERAL ROCA,26290
2011,7,ISCHILIN,24335
2011,24,TOTORAL,13699
2011,15,RIO SECO,10936
2011,25,TULUMBA,10856
2011,10,MINAS,4251
2011,11,POCHO,4197
2011,22,SOBREMONTE,3680
2011,188,,1
2013,1,CAPITAL,1045948
2013,13,RIO CUARTO,200588
2013,3,COLON,180356
2013,20,SAN JUSTO,168250
2013,12,PUNILLA,146313
2013,6,GRAL SAN MARTIN,104699
2013,23,TERCERO ARRIBA,92894
2013,26,UNION,86466
2013,9,MARCOS JUAREZ,84799
2013,16,RIO SEGUNDO,83651
2013,21,SANTA MARIA,76663
2013,8,JUAREZ CELMAN,48730
2013,4,CRUZ DEL EJE,43254
2013,2,CALAMUCHITA,42346
2013,19,SAN JAVIER,41546
2013,14,RIO PRIMERO,37277
2013,18,SAN ALBERTO,29793
2013,17,ROQUE SAENZ PEÑA,29144
2013,5,GENERAL ROCA,27293
2013,7,ISCHILIN,25637
2013,24,TOTORAL,14650
2013,15,RIO SECO,11588
2013,25,TULUMBA,11295
2013,10,MINAS,4379
2013,11,POCHO,4208
2013,22,SOBREMONTE,3758
2015,1,CAPITAL,1075606
2015,13,RIO CUARTO,209251
2015,3,COLON,206077
2015,20,SAN JUSTO,174715
2015,12,PUNILLA,158484
2015,6,GRAL SAN MARTIN,110839
2015,23,TERCERO ARRIBA,96140
2015,26,UNION,90206
2015,16,RIO SEGUNDO,87535
2015,9,MARCOS JUAREZ,86998
2015,21,SANTA MARIA,86003
2015,8,JUAREZ CELMAN,51011
2015,2,CALAMUCHITA,47785
2015,4,CRUZ DEL EJE,46724
2015,19,SAN JAVIER,45532
2015,14,RIO PRIMERO,39640
2015,18,SAN ALBERTO,31959
2015,17,ROQUE SAENZ PEÑA,30177
2015,5,GENERAL ROCA,28216
2015,7,ISCHILIN,26562
2015,24,TOTORAL,15993
2015,15,RIO SECO,12247
2015,25,TULUMBA,11915
2015,10,MINAS,4989
2015,11,POCHO,4612
2015,22,SOBREMONTE,3906
2017,1,CAPITAL,1109179
2017,3,COLON,222595
2017,13,RIO CUARTO,213657
2017,20,SAN JUSTO,179845
2017,12,PUNILLA,166576
2017,6,GRAL SAN MARTIN,114219
2017,23,TERCERO ARRIBA,98197
2017,21,SANTA MARIA,93055
2017,26,UNION,92235
2017,16,RIO SEGUNDO,89857
2017,9,MARCOS JUAREZ,87965
2017,8,JUAREZ CELMAN,52389
2017,2,CALAMUCHITA,51430
2017,4,CRUZ DEL EJE,48977
2017,19,SAN JAVIER,48141
2017,14,RIO PRIMERO,41135
2017,18,SAN ALBERTO,34103
2017,17,ROQUE SAENZ PEÑA,30700
2017,5,GENERAL ROCA,28469
2017,7,ISCHILIN,27770
2017,24,TOTORAL,16644
2017,15,RIO SECO,12727
2017,25,TULUMBA,12090
2017,10,MINAS,5067
2017,11,POCHO,4633
2017,22,SOBREMONTE,4060
2025,001,CAPITAL,1129600
2025,003,COLON,264037
2025,013,RIO CUARTO,225536
2025,012,PUNILLA,196515
2025,020,SAN JUSTO,192727
2025,021,SANTA MARIA,126296
2025,006,GRAL SAN MARTIN,123238
2025,023,TERCERO ARRIBA,102268
2025,026,UNION,97289
2025,016,RIO SEGUNDO,96566
2025,009,MARCOS JUAREZ,89540
2025,002,CALAMUCHITA,65484
2025,008,JUAREZ CELMAN,56449
2025,019,SAN JAVIER,54771
2025,004,CRUZ DEL EJE,54406
2025,014,RIO PRIMERO,44926
2025,018,SAN ALBERTO,40142
2025,017,ROQUE SAENZ PEÑA,31618
2025,007,ISCHILIN,30411
2025,005,GENERAL ROCA,29594
2025,024,TOTORAL,19348
2025,015,RIO SECO,14156
2025,025,TULUMBA,12739
2025,010,MINAS,5052
2025,011,POCHO,4889
2025,022,SOBREMONTE,4351
